epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1148.45,1.12665,0.91481,1.14252,0.63562,0.44586,0.52167,0.33497,1.32857,1.29205,1.23361,0.000742625,0.000742625,0.000742625
43,1175.61,1.13125,0.91249,1.14674,0.639,0.45726,0.52665,0.34349,1.30529,1.23996,1.22159,0.00073025,0.00073025,0.00073025
44,1202.77,1.12417,0.90187,1.1372,0.64954,0.46126,0.50653,0.32343,1.31055,1.24022,1.22092,0.000717875,0.000717875,0.000717875
45,1229.89,1.12257,0.88811,1.13609,0.67379,0.44803,0.51059,0.32808,1.32325,1.26292,1.22919,0.0007055,0.0007055,0.0007055
46,1257.02,1.11782,0.88177,1.14267,0.61803,0.47737,0.50564,0.32433,1.32525,1.28951,1.23711,0.000693125,0.000693125,0.000693125
47,1284.14,1.12032,0.88534,1.13758,0.67423,0.46573,0.54175,0.34617,1.32424,1.22577,1.23626,0.00068075,0.00068075,0.00068075
48,1311.35,1.09572,0.8571,1.12625,0.61107,0.45547,0.51845,0.32759,1.31344,1.2855,1.23425,0.000668375,0.000668375,0.000668375
49,1338.47,1.10697,0.85663,1.13453,0.6343,0.50889,0.52449,0.33672,1.33055,1.26243,1.23993,0.000656,0.000656,0.000656
50,1365.59,1.0888,0.84188,1.12308,0.62641,0.4593,0.50415,0.32337,1.33362,1.29096,1.24835,0.000643625,0.000643625,0.000643625
51,1392.79,1.10566,0.85908,1.12102,0.63712,0.44157,0.50708,0.32916,1.31201,1.29653,1.22912,0.00063125,0.00063125,0.00063125
52,1419.87,1.081,0.83367,1.1214,0.6739,0.44157,0.52428,0.34041,1.31161,1.25414,1.23626,0.000618875,0.000618875,0.000618875
53,1446.92,1.09417,0.83347,1.11991,0.65128,0.45852,0.5243,0.32727,1.32798,1.28902,1.24463,0.0006065,0.0006065,0.0006065
54,1474.09,1.07117,0.81515,1.11266,0.59368,0.48665,0.52708,0.33592,1.31019,1.23512,1.23721,0.000594125,0.000594125,0.000594125
55,1501.24,1.05689,0.78907,1.10289,0.61184,0.48278,0.52126,0.33352,1.29901,1.27166,1.22769,0.00058175,0.00058175,0.00058175
56,1528.45,1.06722,0.80841,1.10776,0.66679,0.47132,0.50796,0.32114,1.29113,1.28014,1.22527,0.000569375,0.000569375,0.000569375
57,1555.55,1.05555,0.78082,1.10133,0.64049,0.47015,0.50336,0.31593,1.30781,1.28821,1.23468,0.000557,0.000557,0.000557
58,1582.61,1.05715,0.77793,1.10532,0.6806,0.42957,0.51433,0.33076,1.30732,1.28211,1.24406,0.000544625,0.000544625,0.000544625
59,1609.69,1.05768,0.78181,1.10548,0.59953,0.47604,0.50055,0.32322,1.32577,1.26673,1.23639,0.00053225,0.00053225,0.00053225
60,1636.86,1.04529,0.75982,1.10076,0.69325,0.42209,0.51032,0.32391,1.33203,1.29249,1.24429,0.000519875,0.000519875,0.000519875
61,1663.94,1.03175,0.75962,1.10022,0.5943,0.51295,0.51702,0.34038,1.29466,1.25507,1.23268,0.0005075,0.0005075,0.0005075
62,1691.11,1.0481,0.76729,1.09777,0.63579,0.45188,0.50459,0.32812,1.30967,1.2822,1.23116,0.000495125,0.000495125,0.000495125
63,1718.29,1.02682,0.74768,1.08951,0.66921,0.42859,0.5061,0.32529,1.3113,1.30569,1.23425,0.00048275,0.00048275,0.00048275
64,1745.41,1.02059,0.73548,1.08528,0.67488,0.43804,0.52199,0.33559,1.30802,1.30348,1.23207,0.000470375,0.000470375,0.000470375
65,1772.55,1.02344,0.73405,1.08771,0.73994,0.4469,0.51468,0.33691,1.30412,1.27534,1.2233,0.000458,0.000458,0.000458
66,1799.69,1.01335,0.73469,1.08666,0.73892,0.45002,0.51878,0.33248,1.33331,1.28706,1.24273,0.000445625,0.000445625,0.000445625
67,1826.87,1.01207,0.72031,1.07805,0.6295,0.48204,0.52645,0.33199,1.33458,1.30734,1.24847,0.00043325,0.00043325,0.00043325
68,1854.07,1.00022,0.70837,1.07028,0.65898,0.48714,0.52406,0.33709,1.31404,1.29509,1.23825,0.000420875,0.000420875,0.000420875
69,1881.26,0.99302,0.70114,1.07599,0.64021,0.47655,0.50534,0.32182,1.33517,1.3014,1.25285,0.0004085,0.0004085,0.0004085
70,1908.52,1.00534,0.71204,1.08054,0.68781,0.46776,0.52254,0.33343,1.32061,1.29876,1.24061,0.000396125,0.000396125,0.000396125
71,1935.77,1.00551,0.70817,1.07523,0.60523,0.49373,0.50473,0.32153,1.31421,1.32118,1.2362,0.00038375,0.00038375,0.00038375
72,1962.93,0.97403,0.68059,1.065,0.6905,0.45937,0.5212,0.33328,1.32854,1.30889,1.25074,0.000371375,0.000371375,0.000371375
73,1990.03,0.99232,0.69172,1.07551,0.64194,0.48656,0.51615,0.3286,1.3106,1.30176,1.25059,0.000359,0.000359,0.000359
74,2017.17,0.9827,0.68706,1.06767,0.61259,0.49153,0.52051,0.33148,1.30742,1.32912,1.24398,0.000346625,0.000346625,0.000346625
75,2044.31,0.96765,0.67336,1.06373,0.67249,0.45615,0.51535,0.32977,1.32365,1.30131,1.25364,0.00033425,0.00033425,0.00033425
76,2071.43,0.96048,0.67524,1.06033,0.58725,0.49348,0.50656,0.31934,1.32276,1.30731,1.25343,0.000321875,0.000321875,0.000321875
77,2098.57,0.96584,0.66801,1.05855,0.63919,0.48789,0.51454,0.32717,1.31784,1.30516,1.24792,0.0003095,0.0003095,0.0003095
78,2125.67,0.94984,0.65895,1.054,0.74683,0.41951,0.50363,0.32187,1.30462,1.32863,1.23731,0.000297125,0.000297125,0.000297125
79,2152.78,0.94817,0.64872,1.05274,0.72798,0.43094,0.51139,0.32325,1.31526,1.33326,1.25169,0.00028475,0.00028475,0.00028475
80,2179.87,0.94812,0.65573,1.05625,0.695,0.45252,0.52049,0.33102,1.3268,1.3244,1.25405,0.000272375,0.000272375,0.000272375
81,2206.94,0.94489,0.65017,1.05026,0.70762,0.44367,0.5145,0.32972,1.31461,1.328,1.24816,0.00026,0.00026,0.00026
82,2234.03,0.95492,0.65865,1.05527,0.67397,0.44475,0.5008,0.31877,1.30477,1.32783,1.23946,0.000247625,0.000247625,0.000247625
83,2261.14,0.94218,0.63051,1.04304,0.70115,0.44785,0.50691,0.32134,1.32284,1.34302,1.25198,0.00023525,0.00023525,0.00023525
84,2288.25,0.93624,0.64006,1.04507,0.64553,0.45652,0.51091,0.32522,1.3196,1.34966,1.24343,0.000222875,0.000222875,0.000222875
85,2315.34,0.93336,0.63536,1.04729,0.71403,0.46779,0.52664,0.33686,1.32224,1.33386,1.25153,0.0002105,0.0002105,0.0002105
86,2342.52,0.93003,0.63012,1.04385,0.71304,0.44415,0.5068,0.32289,1.31695,1.33435,1.24696,0.000198125,0.000198125,0.000198125
87,2369.65,0.92831,0.62448,1.04095,0.60461,0.50841,0.51258,0.3255,1.33247,1.34501,1.25132,0.00018575,0.00018575,0.00018575
88,2396.75,0.9161,0.6148,1.04095,0.64411,0.47925,0.51203,0.32346,1.31943,1.34988,1.25074,0.000173375,0.000173375,0.000173375
89,2423.84,0.91915,0.61589,1.03862,0.71872,0.43838,0.50213,0.31963,1.32683,1.33928,1.24772,0.000161,0.000161,0.000161
90,2450.98,0.90943,0.60357,1.02876,0.59947,0.49543,0.50951,0.32434,1.32079,1.33584,1.25071,0.000148625,0.000148625,0.000148625
91,2478.6,0.85896,0.51594,1.00025,0.67914,0.44974,0.50705,0.3202,1.3281,1.31034,1.25931,0.00013625,0.00013625,0.00013625
92,2505.56,0.83918,0.5035,0.99851,0.66138,0.43825,0.5035,0.32036,1.31871,1.30909,1.24975,0.000123875,0.000123875,0.000123875
93,2532.4,0.82744,0.49079,0.98675,0.57505,0.48415,0.50934,0.32419,1.31516,1.32362,1.25223,0.0001115,0.0001115,0.0001115
94,2559.27,0.82246,0.48152,0.97996,0.63248,0.48113,0.51376,0.32529,1.3165,1.31031,1.25856,9.9125e-05,9.9125e-05,9.9125e-05
95,2586.17,0.81458,0.47449,0.9775,0.63422,0.48545,0.51001,0.32738,1.31464,1.34027,1.25286,8.675e-05,8.675e-05,8.675e-05
96,2613.03,0.81199,0.47315,0.98215,0.61307,0.48004,0.50942,0.32641,1.31651,1.33628,1.258,7.4375e-05,7.4375e-05,7.4375e-05
97,2639.85,0.80922,0.47412,0.97891,0.61637,0.48542,0.51101,0.32481,1.32604,1.33637,1.26708,6.2e-05,6.2e-05,6.2e-05
98,2666.75,0.80083,0.46055,0.97655,0.61791,0.48653,0.50834,0.32363,1.32204,1.33724,1.26248,4.9625e-05,4.9625e-05,4.9625e-05
99,2693.65,0.79424,0.46038,0.97762,0.68465,0.44353,0.50219,0.32055,1.31977,1.34233,1.26165,3.725e-05,3.725e-05,3.725e-05
100,2720.55,0.79474,0.45597,0.97211,0.6222,0.47998,0.50476,0.32176,1.3228,1.35184,1.26548,2.4875e-05,2.4875e-05,2.4875e-05
